,Player,Contract Years Left
888,Cristian Tello,1
889,Yassin Fekir,2
890,Juanmi,3
891,Aitor Ruibal,4
892,Joaquín,1
893,Rober González,3
894,Borja Iglesias,3
895,Loren Morón,3
896,Claudio Bravo,1
897,José Calderón,2
898,William Carvalho,2
899,Andrés Guardado,1
900,Rober González,3
901,Juanmi,3
902,Unai Simón,4
903,Jokin Ezkieta,2
904,Unai Núñez,4
905,Iñigo Martínez,2
906,Yeray Álvarez,5
907,Dani Vivian,2
908,Yuri Berchiche,1
909,Mikel Balenziaga,1
910,Ander Capa,1
911,Óscar de Marcos,1
912,Iñigo Lekue,2
913,Álex Petxa,3
914,Peru Nolaskoain,3
915,Mikel Vesga,3
916,Unai López,1
917,Unai Vencedor,4
918,Dani García,1
919,Oier Zarraga,2
920,Iker Muniain,3
921,Oihan Sancet,1
922,Álex Berenguer,3
923,Jon Morcillo,2
924,Iñigo Córdoba,1
925,Nico Williams,fail
926,Iñaki Williams,7
927,Asier Villalibre,2
928,Raúl García,1
929,Kenan Kodro,1
930,Iago Herrerín,0
931,Iñigo Martínez,2
932,Dani García,1
933,Jon Morcillo,2
934,Iñaki Williams,7
935,David Soria,2
936,Rubén Yáñez,2
937,Diego Conde,3
938,Djené,2
939,Erick Cabaco,3
940,Stefan Mitrovic,3
941,Ignasi Miquel,2
942,Chema,2
943,Miguel Rubio,2
944,Mathí­as Olivera,2
945,Allan Nyom,1
946,Damián Suárez,1
947,Juan Iglesias,1
948,David Timor,1
949,Mauro Arambarri,2
950,Carles Aleñá,5
951,Nemanja Maksimovic,3
952,Marc Cucurella,3
953,Vitolo,1
954,Josete Miranda,1
955,José Macías,1
956,Enes Ünal,4
957,Hugo Duro,1
958,Jaime Mata,3
959,Sandro Ramírez,1
960,Darío Poveda,5
961,Rubén Yáñez,2
962,Chema,2
963,Juan Iglesias,1
964,Vitolo,1
965,Hugo Duro,1
966,Kang-in Lee,1
967,Rubén Blanco,2
968,Matías Dituro,1
969,Néstor Araújo,2
970,Joseph Aidoo,3
971,Jose Fontán,4
972,Javi Galán,5
973,Hugo Mallo,2
974,Kevin Vázquez,2
975,Renato Tapia,3
976,Okay Yokuslu,2
977,Fran Beltrán,2
978,Denis Suárez,2
979,Miguel Baeza,4
980,Franco Cervi,3
981,Nolito,1
982,Brais Méndez,3
983,Augusto Solari,2
984,Emre Mor,1
985,Santi Mina,3
986,Iago Aspas,2
987,Patrick Sequeira,1
988,Joseph Aidoo,3
989,David Juncà,1
990,Renato Tapia,3
991,Miguel Baeza,4
992,Hugo Sotelo,fail
993,Okay Yokuslu,2
994,Fernando Pacheco,2
995,Antonio Sivera,1
996,Fabrice Ondoa,3
997,Florian Lejeune,3
998,Víctor Laguardia,1
999,Tachi,2
1000,Rubén Duarte,2
1001,Saúl García,2
1002,Javi López,2
1003,Martín Aguirregabiria,1
1004,Ximo Navarro,1
1005,Carlos Isaac,2
1006,Pere Pons,1
1007,Mamadou Loum,1
1008,Tomás Pina,1
1009,Toni Moya,2
1010,Manu García,1
1011,Iván Martín,1
1012,Luis Rioja,2
1013,Facundo Pellistri,1
1014,Edgar Méndez,1
1015,Joselu,1
1016,Lucas Pérez,1
1017,John Guidetti,1
1018,Taichi Hara,2
1019,Antonio Sivera,1
1020,Tachi,2
1021,Javi López,2
1022,Toni Moya,2
1023,Facundo Pellistri,1
1024,Taichi Hara,2
1025,Aitor Fernández,2
1026,Dani Cárdenas,1
1027,Koke Vegas,1
1028,Rúben Vezo,3
1029,Rober Pier,2
1030,Sergio Postigo,2
1031,Óscar Duarte,1
1032,Carlos Clerc,1
1033,Enric Franquesa,4
1034,Jorge Miramón,1
1035,Son,3
1036,Coke,1
1037,Mickaël Malsa,3
1038,Pepelu,1
1039,Nemanja Radoja,1
1040,Nikola Vukcevic,1
1041,José Campaña,2
1042,Gonzalo Melero,2
1043,Pablo Martínez,3
1044,Enis Bardhi,1
1045,Jorge de Frutos,4
1046,Hernâni,1
1047,Roger Martí,3
1048,José Luis Morales,2
1049,Dani Gómez,4
1050,Sergio León,1
1051,Roberto Soldado,2
1052,Dani Cárdenas,1
1053,Enric Franquesa,4
1054,Jorge Miramón,1
1055,Nemanja Radoja,1
1056,Pablo Martínez,3
1057,Alejandro Cantero,2
1058,Yoel Rodríguez,3
1059,Ander Cantero,3
1060,Esteban Burgos,1
1061,Anaitz Arbilla,2
1062,Frederico Venâncio,3
1063,Xabi Etxeita,1
1064,Toño García,1
1065,Cristian Glauder,2
1066,Álvaro Tejero,3
1067,Rober Correa,3
1068,Edu Expósito,3
1069,Sergio Álvarez,1
1070,Óscar Sielva,3
1071,Javi Muñoz,2
1072,Roberto Olabe,2
1073,Miguel Atienza,2
1074,Stoichkov,3
1075,Ager Aketxe,2
1076,Yanis Rahmani,4
1077,José Corpas,3
1078,Franchu,3
1079,Quique González,3
1080,Fran Sol,1
1081,Gustavo Blanco Leschuk,1
1082,Ángel Troncho,1
1083,Esteban Burgos,1
1084,Miguel Atienza,2
1085,Roberto Olabe,2
1086,Quique González,3
1087,Aarón Escandell,2
1088,Domingos Duarte,2
1089,Luis Abram,3
1090,Germán Sánchez,1
1091,Neyder Lozano,1
1092,Carlos Neva,4
1093,Adrián Marín,2
1094,Dimitri Foulquier,2
1095,Víctor Díaz,1
1096,Quini,2
1097,Pepe Sánchez,1
1098,Maxime Gonalons,2
1099,Luis Milla,3
1100,Monchu,4
1101,Yan Eteki,1
1102,Ángel Montoro,1
1103,Ramon Azeez,1
1104,Darwin Machís,2
1105,Antonio Puertas,3
1106,Alberto Soro,4
1107,Luis Suárez,4
1108,Carlos Bacca,1
1109,Antoñín,3
1110,Jorge Molina,1
1111,Rui Silva,5
1112,Nehuén Pérez,3
1113,Víctor Díaz,1
1114,Domingos Quina,1
1115,Roberto Soldado,2
1116,Sergio Herrera,2
1117,Juan Pérez,3
1118,David García,5
1119,Aridane Hernández,2
1120,Unai García,2
1121,Jonás Ramalho,1
1122,Juan Cruz,2
1123,Cote,2
1124,Nacho Vidal,4
1125,Jesús Areso,5
1126,Lucas Torró,3
1127,Oier,1
1128,Jon Moncayola,10
1129,Darko Brasanac,2
1130,Jaume Grau,1
1131,Iñigo Pérez,1
1132,Roberto Torres,2
1133,Javi Martínez,2
1134,Rubén García,3
1135,Kike Barja,2
1136,Rober Ibáñez,2
1137,Chimy Ávila,2
1138,Ante Budimir,4
1139,Kike García,3
1140,Barbero,2
1141,Juan Pérez,3
1142,Jonás Ramalho,1
1143,Juan Cruz,2
1144,Oier,1
1145,Javi Martínez,2
1146,Barbero,2
1147,Jordi Masip,1
1148,Roberto,2
1149,José Antonio Caro,1
1150,Javi Sánchez,3
1151,Joaquín Fernández,2
1152,Jawad El Yamiq,3
1153,Kiko Olivas,1
1154,Bruno González,1
1155,Lucas Olaza,4
1156,Nacho Martínez,1
1157,Raúl Carnero,2
1158,Moi Delgado,1
1159,Roberto Corral,1
1160,Saidy Janko,3
1161,Luis Pérez,2
1162,Rubén Alcaraz,2
1163,Fede San Emeterio,2
1164,Roque Mesa,2
1165,Anuar,2
1166,Kike Pérez,4
1167,El Hacen,2
1168,Álvaro Aguado,2
1169,Toni Villa,2
1170,Óscar Plano,2
1171,Pablo Hervías,1
1172,Fabián Orellana,1
1173,Víctor García,2
1174,Kuki Zalazar,1
1175,Shon Weissman,3
1176,Marcos André,2
1177,Sergi Guardiola,2
1178,Sekou Gassama,3
1179,Sergio Benito,2
1180,Jordi Masip,1
1181,Nacho Martínez,1
1182,Rubén Alcaraz,2
1183,Álvaro Aguado,2
1184,Álvaro Fernández,2
1185,Miguel San Román,2
1186,Andrés Fernández,2
1187,Antonio Valera,1
1188,Dimitrios Siovas,1
1189,Jorge Pulido,1
1190,Pablo Insua,2
1191,Florian Miguel,2
1192,Julio Buffarini,2
1193,Andrei Ratiu,3
1194,Jaime Seoane,1
1195,Pedro Mosquera,1
1196,Cristian Salvador,3
1197,Mikel Rico,1
1198,Borja García,2
1199,Kelechi Nwakali,1
1200,Marc Mateu,2
1201,Enzo Lombardo,3
1202,Joaquín Muñoz,2
1203,David Ferreiro,2
1204,Dani Escriche,1
1205,Enzo Lombardo,3
1206,Florian Miguel,2
1207,Pedro Mosquera,1
1208,Alberto Fuentes,1
1209,Édgar Badía,1
1210,Kiko Casilla,1
1211,Enzo Roco,2
1212,Pedro Bigas,2
1213,Diego González,1
1214,Josema,2
1215,Gonzalo Verdú,2
1216,Johan Mojica,3
1217,Helibelton Palacios,1
1218,Antonio Barragán,1
1219,Iván Marcone,2
1220,Luismi,1
1221,Raúl Guti,4
1222,Fidel,1
1223,Pere Milla,1
1224,Tete Morente,3
1225,Pablo Piatti,1
1226,Josan,1
1227,Lucas Boyé,3
1228,Guido Carrillo,1
1229,Édgar Badía,1
1230,Johan Mojica,3
1231,Helibelton Palacios,1
1232,Luismi,1
1233,Víctor Rodríguez,0
1234,Guido Carrillo,1
1235,Jeremías Ledesma,4
1236,David Gil,2
1237,Fali,3
1238,Marcos Mauro,1
1239,Juan Cala,3
1240,Varazdat Haroyan,2
1241,Víctor Chust,1
1242,Santiago Arzamendia,4
1243,Alfonso Espino,2
1244,Iza Carcelén,2
1245,Carlos Akapo,1
1246,Jens Jönsson,1
1247,Tomás Alarcón,4
1248,Jon Ander Garrido,2
1249,José Mari,1
1250,Martín Calderón,3
1251,Álex Fernández,1
1252,Jorge Pombo,2
1253,Alberto Perea,2
1254,Salvi Sánchez,1
1255,Iván Alejo,4
1256,Filip Malbasic,2
1257,Álvaro Jiménez,4
1258,Choco Lozano,2
1259,Álvaro Giménez,2
1260,Álvaro Negredo,1
1261,Nano Mesa,3
1262,Milutin Osmajic,3
1263,Juan Flere,1
1264,Juan Cala,3
1265,Marcos Mauro,1
1266,Álvaro Bastida,1
1267,Alberto Perea,2
1268,Ivan Chapela,1
1269,Wojciech Szczesny,3
1270,Mattia Perin,1
1271,Carlo Pinsoglio,2
1272,Matthijs de Ligt,3
1273,Leonardo Bonucci,3
1274,Daniele Rugani,2
1275,Radu Dragusin,4
1276,Giorgio Chiellini,2
1277,Alex Sandro,2
1278,Luca Pellegrini,4
1279,Danilo,3
1280,Juan Cuadrado,1
1281,Mattia De Sciglio,1
1282,Arthur,4
1283,Rodrigo Bentancur,3
1284,Adrien Rabiot,2
1285,Weston McKennie,4
1286,Aaron Ramsey,2
1287,Hans Nicolussi Caviglia,2
1288,Nicolò Fagioli,2
1289,Federico Chiesa,1
1290,Dejan Kulusevski,4
1291,Federico Bernardeschi,1
1292,Paulo Dybala,1
1293,Cristiano Ronaldo,1
1294,Álvaro Morata,1
1295,Gianluigi Buffon,2
1296,Leonardo Bonucci,3
1297,Gianluca Frabotta,1
1298,Arthur,4
1299,Félix Correia,1
1300,Cristiano Ronaldo,1
1301,Ionut Radu,3
1302,Samir Handanovic,1
1303,Gabriel Brazão,3
1304,Alex Cordaz,1
1305,Milan Skriniar,2
1306,Alessandro Bastoni,3
1307,Stefan de Vrij,2
1308,Andrea Ranocchia,1
1309,Federico Dimarco,2
1310,Aleksandar Kolarov,1
1311,Matteo Darmian,3
1312,Danilo D'Ambrosio,1
1313,Marcelo Brozovic,1
1314,Lucien Agoume,1
1315,Nicolò Barella,3
1316,Roberto Gagliardini,2
1317,Stefano Sensi,3
1318,Matías Vecino,1
1319,Arturo Vidal,1
1320,Denzel Dumfries,4
1321,Valentino Lazaro,3
1322,Ivan Perisic,1
1323,Christian Eriksen,3
1324,Hakan Calhanoglu,3
1325,Lautaro Martínez,2
1326,Andrea Pinamonti,3
1327,Eddie Salcedo,3
1328,Alexis Sánchez,2
1329,Edin Dzeko,2
1330,Facundo Colidio,2
1331,Martín Satriano,3
1332,Daniele Padelli,2
1333,Milan Skriniar,2
1334,Nicolò Barella,3
1335,Ivan Perisic,1
1336,Romelu Lukaku,5
1337,Héctor Bellerín,2
1338,Alex Meret,2
1339,David Ospina,1
1340,Nikita Contini,4
1341,Hubert Idasiak,fail
1342,Kalidou Koulibaly,2
1343,Konstantinos Manolas,3
1344,Amir Rrahmani,3
1345,Mário Rui,4
1346,Faouzi Ghoulam,1
1347,Filippo Costa,1
1348,Giovanni Di Lorenzo,5
1349,Kévin Malcuit,1
1350,Alessandro Zanoli,2
1351,Diego Demme,3
1352,Stanislav Lobotka,3
1353,Luca Palmiero,2
1354,Zinédine Machach,1
1355,Fabián Ruiz,2
1356,Eljif Elmas,4
1357,Karim Zedadka,fail
1358,Piotr Zielinski,3
1359,Gianluca Gaetano,2
1360,Lorenzo Insigne,1
1361,Hirving Lozano,3
1362,Matteo Politano,3
1363,Adam Ounas,1
1364,Victor Osimhen,4
1365,Andrea Petagna,3
1366,Dries Mertens,1
1367,Nikita Contini,4
1368,Davide Costanzo,5
1369,Diego Demme,3
1370,Eljif Elmas,4
1371,Giuseppe D'Agostino,1
1372,Dries Mertens,1
1373,Mady Camara,3
1374,Mike Maignan,5
1375,Alessandro Plizzari,2
1376,Ciprian Tatarusanu,2
1377,Fikayo Tomori,4
1378,Alessio Romagnoli,1
1379,Simon Kjaer,1
1380,Matteo Gabbia,3
1381,Theo Hernández,3
1382,Fodé Ballo-Touré,4
1383,Davide Calabria,4
1384,Pierre Kalulu,4
1385,Andrea Conti,1
1386,Ismaël Bennacer,3
1387,Sandro Tonali,5
1388,Franck Kessié,1
1389,Tommaso Pobega,4
1390,Rade Krunic,3
1391,Brahim Díaz,2
1392,Daniel Maldini,3
1393,Ante Rebic,4
1394,Alexis Saelemaekers,3
1395,Samu Castillejo,2
1396,Rafael Leão,3
1397,Olivier Giroud,2
1398,Zlatan Ibrahimovic,1
1399,Ciprian Tatarusanu,2
1400,Alessio Romagnoli,1
1401,Pierre Kalulu,4
1402,Rade Krunic,3
1403,Daniel Maldini,3
1404,Samu Castillejo,2
1405,Jens Petter Hauge,1
1406,Rui Patrício,3
1407,Robin Olsen,2
1408,Daniel Fuzato,2
1409,Matteo Cardinali,2
1410,Pietro Boer,3
1411,Gianluca Mancini,3
1412,Roger Ibañez,4
1413,Marash Kumbulla,1
1414,Chris Smalling,2
1415,Federico Fazio,1
1416,William Bianda,2
1417,Amir Feratovic,3
1418,Leonardo Spinazzola,3
1419,Matías Viña,5
1420,Riccardo Calafiori,4
1421,Alessandro Florenzi,2
1422,Rick Karsdorp,4
1423,Bryan Reynolds,4
1424,Davide Santon,1
1425,Amadou Diawara,3
1426,Steven Nzonzi,1
1427,Ebrima Darboe,2
1428,Filippo Tripi,3
1429,Lorenzo Pellegrini,1
1430,Jordan Veretout,3
1431,Bryan Cristante,3
1432,Gonzalo Villar,3
1433,Edoardo Bove,3
1434,Nicolò Zaniolo,3
1435,Henrikh Mkhitaryan,1
1436,Javier Pastore,2
1437,Alessio Riccardi,2
1438,Nicola Zalewski,3
1439,Ante Coric,2
1440,Stephan El Shaarawy,2
1441,Ruben Providence,3
1442,Riccardo Ciervo,3
1443,Carles Pérez,3
1444,Pedro,2
1445,Borja Mayoral,1
1446,Eldor Shomurodov,5
1447,Zan Celar,2
1448,Pietro Boer,3
1449,Juan Jesus,0
1450,Amadou Diawara,3
1451,Nicola Zalewski,3
1452,Riccardo Ciervo,3
1453,Anwar El Ghazi,2
1454,Thomas Strakosha,1
1455,Pepe Reina,1
1456,Marius Adamonis,1
1457,Luiz Felipe,1
1458,Francesco Acerbi,2
1459,Patric,1
1460,Denis Vavro,3
1461,Stefan Radu,2
1462,Jordan Lukaku,1
1463,Dimitrije Kamenovic,5
1464,Riza Durmisi,2
1465,Elseid Hysaj,4
1466,Tiago Casasola,2
1467,Lucas Leiva,1
1468,Patryk Dziczek,3
1469,Sergej Milinković-Savić,3
1470,Luis Alberto,4
1471,Jean-Daniel Akpa Akpro,3
1472,Gonzalo Escalante,3
1473,Danilo Cataldi,3
1474,Sofian Kiyine,3
1475,Fabio Maistro,1
1476,Manuel Lazzari,3
1477,Adam Marusic,1
1478,Djavan Anderson,2
1479,Mohamed Fares,4
1480,André Anderson,2
1481,Felipe Anderson,4
1482,Jony,2
1483,Raúl Moro,1
1484,Emanuele Cicerelli,2
1485,Bobby Adekanye,1
1486,Cristiano Lombardi,1
1487,Joaquín Correa,3
1488,Ciro Immobile,4
1489,Vedat Muriqi,4
1490,Felipe Caicedo,1
1491,Cedric Gondo,2
1492,Simone Palombi,1
1493,Pepe Reina,1
1494,Nicolò Armini,1
1495,Marco Bertini,fail
1496,Mohamed Fares,4
1497,Felipe Caicedo,1
1498,Juan Musso,4
1499,Marco Sportiello,1
1500,Francesco Rossi,fail
1501,Merih Demiral,1
1502,Berat Djimsiti,2
1503,Rafael Tolói,2
1504,José Luis Palomino,1
1505,Matteo Lovato,4
1506,Bosko Sutalo,3
1507,David Heidenreich,3
1508,Robin Gosens,2
1509,Giuseppe Pezzella,1
1510,Joakim Maehle,4
1511,Hans Hateboer,2
1512,Enrico Del Prato,1
1513,Federico Mattiello,1
1514,Marten de Roon,3
1515,Marco Carraro,1
1516,Remo Freuler,1
1517,Mario Pasalic,4
1518,Jacopo Da Riva,3
1519,Simone Muratore,2
1520,Arkadiusz Reca,1
1521,Ruslan Malinovskyi,2
1522,Matteo Pessina,4
1523,Aleksey Miranchuk,3
1524,Bryan Cabezas,1
1525,Josip Ilicic,1
1526,Duván Zapata,2
1527,Luis Muriel,2
1528,Sam Lammers,2
1529,Roberto Piccoli,fail
1530,Marco Tumminello,1
1531,Francesco Rossi,fail
1532,Bosko Sutalo,3
1533,José Luis Palomino,1
1534,Mario Pasalic,4
1535,Josip Ilicic,1
1536,Luis Muriel,2
1537,Bartlomiej Dragowski,2
1538,Pietro Terracciano,2
1539,Michele Cerofolini,2
1540,Federico Brancolini,1
1541,Antonio Rosati,fail
1542,Nikola Milenkovic,1
1543,Lucas Martínez Quarta,4
1544,Germán Pezzella,1
1545,Igor,3
1546,Luca Ranieri,3
1547,Christian Dalle Mura,2
1548,Cristiano Biraghi,3
1549,Aleksa Terzic,3
1550,Pol Lirola,3
1551,Lorenzo Venuti,3
1552,Gabriele Ferrarini,2
1553,Sofyan Amrabat,3
1554,Erick Pulgar,2
1555,Gaetano Castrovilli,3
1556,Alfred Duncan,3
1557,Marco Benassi,3
1558,Giacomo Bonaventura,1
1559,Youssef Maleh,3
1560,Alessandro Bianco,fail
1561,Riccardo Saponara,1
1562,Tòfol Montiel,2
1563,Nicolás González,5
1564,Riccardo Sottil,3
1565,José Callejón,1
1566,Dusan Vlahovic,2
1567,Christian Kouamé,3
1568,Aleksandr Kokorin,3
1569,Louis Munteanu,4
1570,Bartlomiej Dragowski,2
1571,Lucas Martínez Quarta,4
1572,Aleksa Terzic,3
1573,Alessandro Bianco,fail
1574,Alfred Duncan,3
1575,Riccardo Sottil,3
1576,Dusan Vlahovic,2
1577,Alessio Cragno,3
1578,Boris Radunović,4
1579,Simone Aresti,fail
1580,Sebastian Walukiewicz,3
1581,Andrea Carboni,4
1582,Diego Godín,2
1583,Luca Ceppitelli,1
1584,Adam Obert,fail
1585,Giorgio Altare,4
1586,Dalbert,1
1587,Charalampos Lykogiannis,1
1588,Gabriele Zappa,4
1589,Paolo Faragò,1
1590,Christian Oliva,2
1591,Riccardo Ladinetti,3
1592,Razvan Marin,4
1593,Marko Rog,3
1594,Kevin Strootman,1
1595,Alessandro Deiola,1
1596,Roberto Biancu,3
1597,Nahitan Nández,3
1598,Gastón Pereiro,3
1599,Diego Farias,1
1600,João Pedro,2
1601,Giovanni Simeone,3
1602,Leonardo Pavoletti,3
1603,Alberto Cerri,3
1604,Damir Ceter,1
1605,Simone Aresti,fail
1606,Adam Obert,fail
1607,Luca Ceppitelli,1
1608,Christian Oliva,2
1609,Gastón Pereiro,3
1610,Alberto Cerri,3
1611,Etrit Berisha,3
1612,Vanja Milinković-Savić,3
1613,Luca Gemello,1
1614,Razvan Sava,2
1615,Bremer,2
1616,Armando Izzo,3
1617,Lyanco,3
1618,Alessandro Buongiorno,3
1619,Koffi Djidji,2
1620,Christian Celesia,2
1621,Ricardo Rodríguez,3
1622,Cristian Ansaldi,1
1623,Wilfried Singo,2
1624,Ola Aina,2
1625,Mërgim Vojvoda,3
1626,Rolando Mandragora,1
1627,Tomás Rincón,1
1628,Karol Linetty,3
1629,Daniele Baselli,1
1630,Sasa Lukic,3
1631,Jacopo Segre,2
1632,Ibrahim Karamoko,2
1633,Simone Verdi,2
1634,Ben Lhassine Kone,2
1635,Marko Pjaca,1
1636,Vincenzo Millico,2
1637,Magnus Warming,3
1638,Dennis Stojkovic,fail
1639,Iago Falque,1
1640,Simone Edera,2
1641,Andrea Belotti,1
1642,Antonio Sanabria,4
1643,Simone Zaza,2
1644,Nicola Rauti,fail
1645,Salvatore Sirigu,1
1646,Lyanco,3
1647,Altin Kryeziu,2
1648,Karol Linetty,3
1649,Andrea Belotti,1
1650,Andrea Consigli,1
1651,Giacomo Satalino,fail
1652,Gianluca Pegolo,1
1653,Gian Marco Ferrari,2
1654,Kaan Ayhan,3
1655,Vlad Chiriches,2
1656,Filippo Romagna,fail
1657,Edoardo Goldaniga,1
1658,Federico Peluso,1
1659,Rogério,3
1660,Georgios Kyriakopoulos,3
1661,Mert Müldür,3
1662,Jeremy Toljan,4
1663,Manuel Locatelli,2
1664,Francesco Magnanelli,1
1665,Matheus Henrique,1
1666,Maxime López,4
1667,Davide Frattesi,4
1668,Pedro Obiang,2
1669,Mehdi Bourabia,fail
1670,Marco Pinato,2
1671,Marco Sala,2
1672,Hamed Junior Traorè,3
1673,Filip Djuricic,1
1674,Jérémie Boga,1
1675,Lukas Haraslin,2
1676,Nicholas Pierini,1
1677,Giacomo Manzari,fail
1678,Domenico Berardi,3
1679,Brian Oddei,3
1680,Enrico Brignola,2
1681,Giacomo Raspadori,3
1682,Gianluca Scamacca,4
1683,Francesco Caputo,2
1684,Grégoire Defrel,3
1685,Gianluca Pegolo,1
1686,Federico Peluso,1
1687,Rogério,3
1688,Mehdi Bourabia,fail
1689,Hamed Junior Traorè,3
1690,Francesco Caputo,2
1691,Manuel Locatelli,2
1692,Marco Silvestri,3
1693,Simone Scuffet,1
1694,Daniele Padelli,2
1695,Samir,2
1696,Bram Nuytinck,2
1697,Rodrigo Becão,3
1698,Sebastien De Maio,1
1699,Marvin Zeegelaar,1
1700,Destiny Udogie,1
1701,Jan Kubala,1
1702,Nahuel Molina,5
1703,Jens Stryger Larsen,1
1704,Walace,3
1705,Mato Jajalo,1
1706,Tolgay Arslan,1
1707,Jean-Victor Makengo,4
1708,Martin Palumbo,4
1709,Roberto Pereyra,2
1710,Lazar Samardzic,5
1711,Petar Micin,1
1712,Gerard Deulofeu,3
1713,Ignacio Pussetto,1
1714,Ryder Matos,1
1715,Fernando Forestieri,1
1716,Stefano Okaka,1
1717,Cristo,3
1718,Ilija Nestorovski,1
1719,Fernando Llorente,1
1720,Lukasz Teodorczyk,1
1721,Edoardo Piana,fail
1722,Sebastien De Maio,1
1723,Marvin Zeegelaar,1
